,survived,class_3,is_female,age,DW_pscore,DW_logit,DW_predict,SK_pscore,SK_logit,SK_predict,match,distance
0,1,1,1,63,0.08891596279388118,-2.3269434548256775,0,0.08710379456315606,-2.349521740456522,0,221.0,0.0
1,0,1,0,74,0.11645160463500474,-2.0264702912895163,0,0.116552992425077,-2.0254852696682546,0,216.0,-0.0038941507295718186
2,0,1,0,70,0.13981594324828148,-1.816819519266307,0,0.14002289618389258,-1.8150998120154245,0,617.0,-0.004555848063019147
3,0,1,0,65,0.17440040733509918,-1.5547560542372965,0,0.17478057509728617,-1.5521179899493869,0,38.0,-0.005461443567501223
4,0,1,1,48,0.17642582871945522,-1.5407530597386463,0,0.17356397096613949,-1.5605762742584108,0,366.0,-0.0020254213843560465
5,0,1,1,47,0.184170959971126,-1.4883403667328436,0,0.18123836338542257,-1.5079799098452036,0,433.0,-0.0020946801140942772
6,0,1,1,45,0.20044507168432552,-1.38351498072124,0,0.19737420038892212,-1.4027871810187889,0,441.0,-0.002234804969990206
7,0,1,1,45,0.20044507168432552,-1.38351498072124,0,0.19737420038892212,-1.4027871810187889,0,561.0,0.0
8,0,1,1,45,0.20044507168432552,-1.38351498072124,0,0.19737420038892212,-1.4027871810187889,0,684.0,0.0
9,0,1,0,61,0.2066717503864574,-1.345105282214088,0,0.20722528863520154,-1.3417325322965572,0,684.0,-0.006226678702131894
10,0,1,1,43,0.21777336610685386,-1.2786895947096355,0,0.21457014508087602,-1.297594452192374,0,465.0,-0.002375955245289746
11,0,1,0,59,0.22438726950342294,-1.2402798962024841,0,0.2250388572598646,-1.2365398034701425,0,620.0,-0.0066139033965690874
12,0,1,1,41,0.23615722077365495,-1.1738642086980315,0,0.23282966467148697,-1.1924017233659587,0,388.0,-0.00251661900341274
13,0,1,1,41,0.23615722077365495,-1.1738642086980315,0,0.23282966467148697,-1.1924017233659587,0,219.0,0.0
14,0,1,1,40,0.24574214156588306,-1.1214515156922291,0,0.2423560991191823,-1.1398053589527513,0,279.0,0.0
15,0,1,1,39,0.2555859164898142,-1.0690388226864274,0,0.2521442071702293,-1.0872089945395438,0,457.0,0.0
16,0,1,1,39,0.2555859164898142,-1.0690388226864274,0,0.2521442071702293,-1.0872089945395438,0,443.0,0.0
17,0,1,0,55,0.26296215350267554,-1.030629124179275,0,0.263830343420078,-1.0261543458173124,0,443.0,-0.007376237012861331
18,1,1,1,38,0.265685110358757,-1.0166261296806247,0,0.26219082736647514,-1.034612630126336,0,1.0,0.0
19,0,1,1,37,0.27603538823460344,-0.964213436674823,0,0.2724918957180717,-0.9820162657131286,0,461.0,-0.0027895622195246994
20,1,1,1,36,0.28663149077686023,-0.9118007436690209,0,0.28304241877560193,-0.9294199012999214,0,310.0,0.0
21,1,1,1,35,0.2974672152638381,-0.8593880506632189,0,0.2938364522758948,-0.876823536886714,0,217.0,0.0
22,0,1,0,51,0.3055560223584442,-0.820978352156067,0,0.3066625448914307,-0.8157688881644829,0,3.0,-0.008088807094606076
23,0,1,0,51,0.3055560223584442,-0.820978352156067,0,0.3066625448914307,-0.8157688881644829,0,125.0,0.0
24,0,1,0,51,0.3055560223584442,-0.820978352156067,0,0.3066625448914307,-0.8157688881644829,0,121.0,0.0
25,0,1,0,50,0.31678946463618235,-0.7685656591502649,0,0.3179578736109811,-0.7631725237512756,0,456.0,-0.008254061749317365
26,1,1,1,33,0.31982793287252953,-0.7545626646516141,0,0.3161264353591713,-0.7716308080602989,0,376.0,0.0
27,0,1,0,49,0.3282406878668162,-0.716152966144463,0,0.3294715425404534,-0.7105761593380678,0,364.0,0.0
28,0,1,1,32,0.3313357239275978,-0.7021499716458126,0,0.3276056404493472,-0.7190344436470915,0,97.0,0.0
29,0,1,0,48,0.3398999122393623,-0.6637402731386611,0,0.3411935684969156,-0.6579797949248606,0,510.0,0.0
30,0,1,1,31,0.34304874342646574,-0.6497372786400099,0,0.33929487267922,-0.6664380792338842,0,510.0,-0.0031488311871034624
31,1,1,1,31,0.34304874342646574,-0.6497372786400099,0,0.33929487267922,-0.6664380792338842,0,565.0,-0.0031488311871034624
32,1,1,1,31,0.34304874342646574,-0.6497372786400099,0,0.33929487267922,-0.6664380792338842,0,172.0,0.0
33,0,1,1,31,0.34304874342646574,-0.6497372786400099,0,0.33929487267922,-0.6664380792338842,0,255.0,0.0
34,0,1,0,47,0.3517564184547298,-0.6113275801328586,0,0.3531130176965369,-0.6053834305116532,0,255.0,-0.008707675028264084
